question_id,model,prompt,n_pooled,n_excluded_unusable_confidence_pooled,rho_pooled,rho_pooled_ci_lo,rho_pooled_ci_hi,rho_pooled_ci_method,direction_claimed_pooled,n_0_20_bin,rho_0_20_bin,rho_0_20_bin_ci_lo,rho_0_20_bin_ci_hi,rho_0_20_bin_ci_method,direction_claimed_0_20_bin,rho_mnar_bound_lo,rho_mnar_bound_hi,mnar_bound_width,k8_degenerate,multiplicity_note
Q5,Gemma-3-12B,Detailed,1155,0,0.5518405448037117,0.5092067311623304,0.5896399333962717,BCa,True,933,0.5730398673638206,0.5250872513838707,0.613791827081282,BCa,True,0.5518405448037117,0.5518405448037117,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Grid-Overlay,1142,13,0.42712602243038084,0.36939741938688203,0.4810377289544109,BCa,True,920,0.49301840323211066,0.428552680141304,0.552046989349354,BCa,True,0.39113412696004884,0.4389821554661864,0.04784802850613756,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Point-Hint,1109,46,0.5788722972402719,0.5340542969010571,0.6194373956260859,BCa,True,887,0.5837727407586843,0.5346432174126261,0.6288316229943979,BCa,True,0.4579457251500784,0.597583184802161,0.13963745965208257,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-12B,Short,1155,0,-0.061998956485304804,-0.12352634246136732,-0.0016316157390278822,BCa,True,933,-0.2481479772851534,-0.3134512708738086,-0.18145397665317595,BCa,True,-0.061998956485304804,-0.061998956485304804,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Detailed,1155,0,-0.38193562151866617,-0.433760264142096,-0.3293147268876181,BCa,True,933,-0.42072553915030114,-0.4683184594679761,-0.36610121266593787,BCa,True,-0.38193562151866617,-0.38193562151866617,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Grid-Overlay,1155,0,0.053663469666948384,-0.010778458372761385,0.11580399726851341,BCa,False,933,0.057671061453028555,-0.01693442628876813,0.12877245728409037,BCa,False,0.053663469666948384,0.053663469666948384,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Point-Hint,1155,0,0.12804098490472698,0.06710939874555602,0.1867962168717865,BCa,True,933,0.10523954504682062,0.034114296490966804,0.16986336131211494,BCa,True,0.12804098490472698,0.12804098490472698,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Gemma-3-27B,Short,1155,0,-0.22761356109801884,-0.2776588298490813,-0.17833624397788975,BCa,True,933,-0.23867012415894368,-0.2934934609236191,-0.1796530142587954,BCa,True,-0.22761356109801884,-0.22761356109801884,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Detailed,1155,0,-0.5354480134861184,-0.5783613660535595,-0.4878764788092726,BCa,True,933,-0.5804421713066215,-0.6216877422801769,-0.5332246684169472,BCa,True,-0.5354480134861184,-0.5354480134861184,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Grid-Overlay,1155,0,-0.6946317022348184,-0.7266455466735323,-0.6592070460130293,BCa,True,933,-0.7222086631712438,-0.7540598967509761,-0.6846234252844395,BCa,True,-0.6946317022348184,-0.6946317022348184,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Point-Hint,1154,1,-0.6688077327132943,-0.7009495650212155,-0.6338665496637388,BCa,True,932,-0.7293971052663677,-0.7571836889922666,-0.69529382217831,BCa,True,-0.6683074730089175,-0.6673560980254164,0.0009513749835010632,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Maverick,Short,1155,0,-0.6559113158919048,-0.6889433656029749,-0.6191459610928709,BCa,True,933,-0.7051537723260723,-0.7375881133778563,-0.6690824497728595,BCa,True,-0.6559113158919048,-0.6559113158919048,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Detailed,1135,20,-0.528835833292436,-0.574597320615819,-0.4791878778653518,BCa,True,930,-0.6403720182489897,-0.6794828443282466,-0.5948822077154948,BCa,True,-0.527861456099111,-0.4798119668874757,0.048049489211635266,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Grid-Overlay,1155,0,-0.5077043544383137,-0.5536000945102423,-0.4601779298507663,BCa,True,933,-0.5755912287979299,-0.6183926106307837,-0.5272604199514415,BCa,True,-0.5077043544383137,-0.5077043544383137,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Point-Hint,1131,24,-0.4728708540343661,-0.5222868426097641,-0.41853214585549076,BCa,True,927,-0.5567707481160125,-0.6035284298919181,-0.5056217016594239,BCa,True,-0.4814017414775986,-0.4128694937328515,0.06853224774474714,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Llama-4-Scout,Short,1155,0,-0.7252791321680863,-0.7521768881363255,-0.695638416285725,BCa,True,933,-0.7702110034169274,-0.7938972967079674,-0.740008907680604,BCa,True,-0.7252791321680863,-0.7252791321680863,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Detailed,1155,0,0.00407065340383397,-0.06485760004339844,0.0703829446572316,BCa,False,933,-0.13012900189585816,-0.1968984112315069,-0.056244392043600634,BCa,True,0.00407065340383397,0.00407065340383397,0.0,True,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Grid-Overlay,1150,5,-0.41389922064823265,-0.45615619161690923,-0.3694914862399735,BCa,True,928,-0.45008943167717114,-0.49296940374451476,-0.4062246629731796,BCa,True,-0.4137786420896596,-0.40027476426528236,0.01350387782437723,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Point-Hint,1155,0,-0.18407941917817888,-0.2454876319089003,-0.12055560049060257,BCa,True,933,-0.3862855848876659,-0.44282364282588704,-0.3269085220210721,BCa,True,-0.18407941917817888,-0.18407941917817888,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Mistral-Small-3.2,Short,1155,0,-0.2233411053794477,-0.291518855254518,-0.1493176735588728,BCa,True,933,-0.42712791722710053,-0.47197154440143213,-0.37729761203914436,BCa,True,-0.2233411053794477,-0.2233411053794477,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Detailed,1155,0,-0.6293225523408186,-0.6647033357350609,-0.5902357381775967,BCa,True,933,-0.7252835346005713,-0.7538207521413451,-0.6937339321566279,BCa,True,-0.6293225523408186,-0.6293225523408186,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Grid-Overlay,1155,0,-0.6112609512450626,-0.6460457810860843,-0.5744830965106247,BCa,True,933,-0.6785520640849905,-0.7119212760737355,-0.6439699135034876,BCa,True,-0.6112609512450626,-0.6112609512450626,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Point-Hint,1155,0,-0.3082705381521044,-0.3648834702865454,-0.24737507319189808,BCa,True,933,-0.44647064700285555,-0.5005943089264963,-0.3871993374907501,BCa,True,-0.3082705381521044,-0.3082705381521044,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
Q5,Qwen-2.5,Short,1155,0,-0.49411424101171947,-0.5401515762967878,-0.4436568946985498,BCa,True,933,-0.5731496877319269,-0.6198530942815412,-0.5227477637835443,BCa,True,-0.49411424101171947,-0.49411424101171947,0.0,False,"24-cell interval verdicts, not corrected for multiplicity"
