question_id,model,prompt,confidence_level,tpr,fpr,n_at_level,n_positives,n_negatives
Q5,Gemma-3-12B,Detailed,0.75,0.009009009009009009,0.0028735632183908046,4,111,1044
Q5,Gemma-3-12B,Detailed,0.8,0.009009009009009009,0.3055555555555556,316,111,1044
Q5,Gemma-3-12B,Detailed,0.85,1.0,0.9971264367816092,832,111,1044
Q5,Gemma-3-12B,Detailed,0.95,1.0,0.9980842911877394,1,111,1044
Q5,Gemma-3-12B,Detailed,1.0,1.0,1.0,2,111,1044
Q5,Gemma-3-12B,Grid-Overlay,0.6,0.0,0.16650148662041625,168,146,1009
Q5,Gemma-3-12B,Grid-Overlay,0.7,0.0,0.5599603567888999,397,146,1009
Q5,Gemma-3-12B,Grid-Overlay,0.75,0.5753424657534246,0.8374628344895937,364,146,1009
Q5,Gemma-3-12B,Grid-Overlay,0.8,0.9383561643835616,0.9623389494549058,179,146,1009
Q5,Gemma-3-12B,Grid-Overlay,0.85,1.0,0.9871159563924677,34,146,1009
Q5,Gemma-3-12B,Point-Hint,0.6,0.01694915254237288,0.3355834136933462,350,118,1037
Q5,Gemma-3-12B,Point-Hint,0.7,0.11016949152542373,0.6528447444551592,340,118,1037
Q5,Gemma-3-12B,Point-Hint,0.75,0.9576271186440678,0.9421407907425265,400,118,1037
Q5,Gemma-3-12B,Point-Hint,0.8,0.9661016949152542,0.9459980713596914,5,118,1037
Q5,Gemma-3-12B,Point-Hint,0.85,1.0,0.9546769527483124,13,118,1037
Q5,Gemma-3-12B,Point-Hint,0.95,1.0,0.9556412729026037,1,118,1037
Q5,Gemma-3-12B,Short,0.6,0.0,0.0009823182711198428,1,137,1018
Q5,Gemma-3-12B,Short,0.7,0.0,0.12573673870333987,127,137,1018
Q5,Gemma-3-12B,Short,0.75,0.38686131386861317,0.431237721021611,364,137,1018
Q5,Gemma-3-12B,Short,0.8,0.7445255474452555,0.9106090373280943,537,137,1018
Q5,Gemma-3-12B,Short,0.85,1.0,0.9793713163064833,105,137,1018
Q5,Gemma-3-12B,Short,0.95,1.0,0.9833005893909627,4,137,1018
Q5,Gemma-3-12B,Short,1.0,1.0,1.0,17,137,1018
Q5,Gemma-3-27B,Detailed,0.85,0.8252427184466019,0.24524714828897337,343,103,1052
Q5,Gemma-3-27B,Detailed,0.9,1.0,0.9106463878326996,718,103,1052
Q5,Gemma-3-27B,Detailed,0.95,1.0,0.9980988593155894,92,103,1052
Q5,Gemma-3-27B,Detailed,1.0,1.0,1.0,2,103,1052
Q5,Gemma-3-27B,Grid-Overlay,0.8,0.324468085106383,0.31230610134436404,363,188,967
Q5,Gemma-3-27B,Grid-Overlay,0.85,1.0,0.9172699069286453,712,188,967
Q5,Gemma-3-27B,Grid-Overlay,0.9,1.0,0.9720785935884177,53,188,967
