question_id,level,model,prompt,n_pairs,exact_agreement_rate,median_abs_diff_local_minus_api,abs_diff_iqr_lo,abs_diff_iqr_hi,empirical_loa_2_5pct,empirical_loa_97_5pct,spearman_tie_corrected,spearman_p,tier,corrected,claim_wording
Q7,model,Gemma-3-12B,all (pooled),4620,0.6274891774891775,0.0,0.0,5.0,-10.0,20.0,0.9105038334225873,0.0,secondary,False,stack and possibly weights
Q7,model,Gemma-3-27B,all (pooled),4620,0.6798701298701298,0.0,0.0,5.0,-10.0,10.0,0.8955563780196228,0.0,secondary,False,stack and possibly weights
Q7,model,Llama-4-Maverick,all (pooled),4620,0.46190476190476193,2.0,0.0,10.0,-25.0,25.0,0.7270814963728398,0.0,secondary,False,stack and possibly weights
Q7,model,Llama-4-Scout,all (pooled),4620,0.3313852813852814,5.0,0.0,10.0,-30.0,20.0,0.7189589033415269,0.0,secondary,False,stack and possibly weights
Q7,model,Mistral-Small-3.2,all (pooled),4620,0.30692640692640694,4.25,0.0,10.0,-3.0,20.0,0.7920134636037109,0.0,secondary,False,stack and possibly weights
Q7,model,Qwen-2.5,all (pooled),4620,0.5701298701298702,0.0,0.0,5.0,-10.0,10.0,0.9340545527170477,0.0,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-12B,Detailed,1155,0.6199134199134199,0.0,0.0,7.0,-10.0,20.0,0.8644985864858888,0.0,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-12B,Grid-Overlay,1155,0.6077922077922078,0.0,0.0,10.0,-10.0,14.0,0.9007008320469428,0.0,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-12B,Point-Hint,1155,0.6138528138528139,0.0,0.0,3.25,-10.0,20.0,0.929012990735578,0.0,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-12B,Short,1155,0.6683982683982684,0.0,0.0,4.0,-10.0,20.0,0.936953503475077,0.0,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-27B,Detailed,1155,0.6978354978354978,0.0,0.0,10.0,-10.0,10.0,0.8264296326314629,6.688396704618582e-290,secondary,False,stack and possibly weights
Q7,model_x_prompt,Gemma-3-27B,Grid-Overlay,1155,0.69004329004329,0.0,0.0,10.0,-10.0,10.0,0.8992136873156524,0.0,secondary,False,stack and possibly weights
