question_id,model,prompt,auc,prob_best,D_hat,se_hat,mcb_lower_bound,in_mcb_topset,in_mcs_topset,in_union_topset,topset_implementations_disagree,mcb_critical_value,is_observed_best,k8_degenerate,selection_conditioned
Q5,Gemma-3-27B,Detailed,0.7978053822584813,0.9921,-0.06115181301468098,0.023023282332674574,-0.12254952898267117,True,True,True,True,2.666766409794434,True,False,True
Q5,Llama-4-Maverick,Grid-Overlay,0.7366535692438003,0.0065,0.06115181301468098,0.024215288498102238,-0.0034247049555395787,True,False,True,True,2.666766409794434,False,False,True
Q5,Qwen-2.5,Short,0.7204669804101622,0.0014,0.07733840184831908,0.0258087585073124,0.008512471582522038,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Maverick,Short,0.7032312925170068,0.0,0.09457408974147452,0.02134352317227858,0.03765589907897286,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Maverick,Point-Hint,0.6983553364527629,0.0,0.09945004580571837,0.02085938907311325,0.0438229276967069,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Scout,Short,0.6943674976915974,0.0,0.10343788456688385,0.018866873848829183,0.05312433912899716,False,False,False,True,2.666766409794434,False,False,True
Q5,Qwen-2.5,Detailed,0.6476817770889836,0.0,0.15012360516949774,0.02139448347999396,0.09306951527014792,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Scout,Grid-Overlay,0.6226574193140375,0.0,0.1751479629444438,0.030644967894025446,0.09342499193542786,False,False,False,True,2.666766409794434,False,False,True
Q5,Qwen-2.5,Grid-Overlay,0.6202107279693487,0.0,0.17759465428913257,0.018651038123891264,0.12785669231254396,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Maverick,Detailed,0.6184710629029193,0.0,0.179334319355562,0.028879649608169616,0.10231903985386227,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-27B,Short,0.602415735817765,0.0,0.19538964644071632,0.01968810718421582,0.1428860635294171,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Scout,Point-Hint,0.5839648472001413,0.0,0.21384053505834,0.02640948699262103,0.1434126022465152,False,False,False,True,2.666766409794434,False,False,True
Q5,Mistral-Small-3.2,Grid-Overlay,0.5728706767087093,0.0,0.22493470554977202,0.020032652350541056,0.17151230116225963,False,False,False,True,2.666766409794434,False,False,True
Q5,Llama-4-Scout,Detailed,0.552556473593333,0.0,0.24524890866514826,0.027784815284699244,0.17115329656156936,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-27B,Grid-Overlay,0.5380556313062449,0.0,0.2597497509522364,0.025026390440389075,0.19301021356740627,False,False,False,True,2.666766409794434,False,False,True
Q5,Mistral-Small-3.2,Short,0.48071176134296556,0.0,0.31709362091551574,0.02944930295426966,0.23855920900520944,False,False,False,True,2.666766409794434,False,False,True
Q5,Qwen-2.5,Point-Hint,0.4737826393789697,0.0,0.3240227428795116,0.024668013018125108,0.2582389143664038,False,False,False,True,2.666766409794434,False,False,True
Q5,Mistral-Small-3.2,Detailed,0.4567108114128344,0.0,0.34109457084564687,0.026384771691574806,0.27073254796846014,False,False,False,True,2.666766409794434,False,True,True
Q5,Gemma-3-27B,Point-Hint,0.43964126169891127,0.0,0.35816412055957003,0.026869902830056063,0.28650836625793613,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-12B,Short,0.41334273866016846,0.0,0.38446264359831284,0.03078012046218747,0.30237925226032497,False,False,False,True,2.666766409794434,False,False,True
Q5,Mistral-Small-3.2,Point-Hint,0.3576221657016072,0.0,0.4401832165568741,0.031655488342657204,0.35576542355903656,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-12B,Detailed,0.3545139967553761,0.0,0.4432913855031052,0.02222686593154889,0.38401752604184636,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-12B,Grid-Overlay,0.2014767716131679,0.0,0.5963286106453134,0.02404557897199565,0.532204668338736,False,False,False,True,2.666766409794434,False,False,True
Q5,Gemma-3-12B,Point-Hint,0.19952025859857359,0.0,0.5982851236599077,0.02571733128561065,0.5297030084378858,False,False,False,True,2.666766409794434,False,False,True
