question_id,axis,level,step,contrast,n_images,balanced_mae_base,balanced_mae_masked_gray,balanced_mae_rectified,estimate,ci_lo,ci_hi,ci_method,descriptive_uncorrected,note
Q4,model,Gemma-3-12B,crop,masked_gray_minus_base,1155,16.077253230626933,14.74554729691246,14.72703148994315,-1.331705933714474,-2.6789542264997146,-0.08582782740630357,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Gemma-3-12B,correction,rectified_minus_masked_gray,1155,16.077253230626933,14.74554729691246,14.72703148994315,-0.018515806969309878,-0.9067450513954405,0.9092110105230681,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Gemma-3-12B,total,rectified_minus_base,1155,16.077253230626933,14.74554729691246,14.72703148994315,-1.350221740683784,-2.677454943145117,-0.05213396481875805,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Gemma-3-27B,crop,masked_gray_minus_base,1155,16.187335701237963,14.53756108003049,13.63090304399332,-1.649774621207472,-2.959241582843989,-0.43417343422289256,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Gemma-3-27B,correction,rectified_minus_masked_gray,1155,16.187335701237963,14.53756108003049,13.63090304399332,-0.9066580360371717,-1.734084472859659,-0.14596276298783717,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Gemma-3-27B,total,rectified_minus_base,1155,16.187335701237963,14.53756108003049,13.63090304399332,-2.5564326572446436,-3.8472955383220278,-1.3466170951367693,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Maverick,crop,masked_gray_minus_base,1155,16.109682639735396,15.66580355432323,14.699073144448722,-0.44387908541216703,-1.4308924454614402,0.6641633727384143,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Maverick,correction,rectified_minus_masked_gray,1155,16.109682639735396,15.66580355432323,14.699073144448722,-0.9667304098745078,-1.878527500930424,-0.2039633002148992,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Maverick,total,rectified_minus_base,1155,16.109682639735396,15.66580355432323,14.699073144448722,-1.4106094952866748,-2.3876215785050254,-0.3581338717023718,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Scout,crop,masked_gray_minus_base,1155,18.018152395537907,16.873709158346024,16.70457973020903,-1.144443237191883,-2.387289949744855,0.05853214798151801,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Scout,correction,rectified_minus_masked_gray,1155,18.018152395537907,16.873709158346024,16.70457973020903,-0.16912942813699416,-1.1157182988171817,0.7242508874944175,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Llama-4-Scout,total,rectified_minus_base,1155,18.018152395537907,16.873709158346024,16.70457973020903,-1.313572665328877,-2.313812254073726,-0.3196408833722739,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Mistral-Small-3.2,crop,masked_gray_minus_base,1155,15.545482538576897,11.880380361543526,12.614890286494932,-3.6651021770333703,-5.017808978504016,-2.4165814962292407,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Mistral-Small-3.2,correction,rectified_minus_masked_gray,1155,15.545482538576897,11.880380361543526,12.614890286494932,0.7345099249514053,0.04557609498314249,1.5206557826131977,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Mistral-Small-3.2,total,rectified_minus_base,1155,15.545482538576897,11.880380361543526,12.614890286494932,-2.930592252081965,-4.254945521186174,-1.612278982822842,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Qwen-2.5,crop,masked_gray_minus_base,1155,12.883233693437969,11.262471731077543,12.32713387136465,-1.620761962360426,-2.820028991730395,-0.4624219193947443,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Qwen-2.5,correction,rectified_minus_masked_gray,1155,12.883233693437969,11.262471731077543,12.32713387136465,1.0646621402871066,0.36219955806605525,1.9164694625933638,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,model,Qwen-2.5,total,rectified_minus_base,1155,12.883233693437969,11.262471731077543,12.32713387136465,-0.5560998220733193,-1.6877228962441373,0.6786387650795842,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Detailed,crop,masked_gray_minus_base,1155,22.768026676193877,22.391436244937648,22.268985707319647,-0.37659043125622915,-1.4965222844624813,0.7466958845544943,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Detailed,correction,rectified_minus_masked_gray,1155,22.768026676193877,22.391436244937648,22.268985707319647,-0.12245053761800051,-1.1335651677003555,0.7195230238662067,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Detailed,total,rectified_minus_base,1155,22.768026676193877,22.391436244937648,22.268985707319647,-0.49904096887422966,-1.6132481189199013,0.47850337633973256,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Grid-Overlay,crop,masked_gray_minus_base,1155,13.456153540497507,11.352749301287819,11.428464034024902,-2.103404239209688,-2.945018508069818,-1.3011722342127383,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Grid-Overlay,correction,rectified_minus_masked_gray,1155,13.456153540497507,11.352749301287819,11.428464034024902,0.07571473273708307,-0.37559608316048376,0.4957986667108647,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Grid-Overlay,total,rectified_minus_base,1155,13.456153540497507,11.352749301287819,11.428464034024902,-2.027689506472605,-2.8688552062443744,-1.2381612490942218,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
Q4,prompt,Point-Hint,crop,masked_gray_minus_base,1155,13.57853624478322,11.806944941698058,11.576520189414204,-1.7715913030851613,-2.644117210315875,-0.9793126199926171,BCa,True,"the six model rows are six views of the same 1,155 images and the four prompt rows likewise, so no difference between two levels here is a test and no interval on this row supports one"
