question_id,model,prompt,n,balanced_mae_base,balanced_mae_masked_gray,balanced_mae_rectified,crop_diff,crop_diff_ci_lo,crop_diff_ci_hi,correction_diff,correction_diff_ci_lo,correction_diff_ci_hi,total_diff,total_diff_ci_lo,total_diff_ci_hi,ci_method,descriptive_uncorrected
Q4,Gemma-3-12B,Detailed,1155,20.36248762974899,20.206867893594996,18.8816267605653,-0.15561973615399438,-2.64124911692675,1.9868452088351263,-1.3252411330296958,-3.448579164984079,0.3506825444700542,-1.4808608691836902,-3.6772322470769767,0.445773497946939,BCa,True
Q4,Gemma-3-12B,Grid-Overlay,1155,15.73782851236235,13.59332945813436,14.340727692602432,-2.1444990542279907,-3.8088425468446956,-0.5960642289465102,0.7473982344680721,-0.44189578980341593,1.9385752338308542,-1.3971008197599186,-3.0869912440450484,0.11189518971382724,BCa,True
Q4,Gemma-3-12B,Point-Hint,1155,14.264157003877107,13.086656937791611,12.636719761252863,-1.1775000660854964,-2.774517996110458,0.3809664642156102,-0.4499371765387483,-1.6290402081424231,0.7426207780892113,-1.6274372426242447,-3.0978184477390664,-0.20133323889680318,BCa,True
Q4,Gemma-3-12B,Short,1155,13.944539776519292,12.095334898128865,13.049051745352008,-1.8492048783904274,-3.40083057766138,-0.31126307162424866,0.9537168472231432,-0.28042316973122877,2.2985765832372893,-0.8954880311672841,-2.5143293775633566,0.7792029649384853,BCa,True
Q4,Gemma-3-27B,Detailed,1155,21.249099771112544,19.636848719263092,19.28896901448676,-1.6122510518494515,-3.5873601483101,0.2799490443606858,-0.34787970477633223,-1.9949113070634141,1.1694326384566958,-1.9601307566257837,-3.980908102787952,-0.018820983991652596,BCa,True
Q4,Gemma-3-27B,Grid-Overlay,1155,14.380937610114106,13.054183451701311,12.076186697929876,-1.326754158412795,-2.679922213792159,-0.01917953263318181,-0.9779967537714356,-1.9044045054691132,-0.08629073178832584,-2.3047509121842307,-3.619192250513844,-1.0004034932337653,BCa,True
Q4,Gemma-3-27B,Point-Hint,1155,14.456707233622993,13.091699541816311,12.132277922075797,-1.3650076918066816,-2.7168046965859944,-0.11339852603414666,-0.9594216197405139,-1.9377758267395213,-0.007799815998081887,-2.3244293115471955,-3.7784791236441992,-1.0386198140195297,BCa,True
Q4,Gemma-3-27B,Short,1155,14.66259819010222,12.36751260734124,11.026178541480844,-2.2950855827609793,-4.092317245348629,-0.7116862003771581,-1.341334065860396,-2.3449191638961384,-0.514307432987772,-3.6364196486213753,-5.481580020602235,-1.9931223719955886,BCa,True
Q4,Llama-4-Maverick,Detailed,1155,30.0386919132337,32.8135682897537,30.392271836759836,2.774876376519998,0.0665081623819986,5.7025098176266384,-2.421296452993861,-5.482572465776634,0.037755235910564885,0.3535799235261372,-1.7942775682184744,2.6452585440902694,BCa,True
Q4,Llama-4-Maverick,Grid-Overlay,1155,11.815106900443086,10.131923314118122,9.377073647039138,-1.6831835863249633,-3.0604846746595133,-0.34018205442260097,-0.7548496670789842,-1.785336358592648,0.19693868733913325,-2.4380332534039475,-3.8681047105090034,-1.0940021056358633,BCa,True
Q4,Llama-4-Maverick,Point-Hint,1155,11.375880070767348,10.359553086274412,9.677599653521238,-1.0163269844929363,-2.19127620593661,0.20740298803210527,-0.6819534327531738,-1.604293246036884,0.1786133023749565,-1.6982804172461101,-2.863027590649165,-0.5014402268007672,BCa,True
Q4,Llama-4-Maverick,Short,1155,11.209051674497458,9.358169527146694,9.349347440474682,-1.850882147350763,-2.9108053130496585,-0.7673791688416468,-0.00882208667201212,-0.8834665328254824,0.8315170935446909,-1.8597042340227752,-3.087946145892868,-0.6939544722691466,BCa,True
Q4,Llama-4-Scout,Detailed,1155,32.02873673963868,33.40824761158842,32.95412485907438,1.3795108719497406,-0.6754743354047186,4.101716765334927,-0.45412275251403855,-2.8661285683161695,1.2277538352313206,0.9253881194357021,-0.7431945320511074,3.187859276560728,BCa,True
Q4,Llama-4-Scout,Grid-Overlay,1155,13.40693654893093,11.144267355754438,11.007892823360418,-2.2626691931764906,-3.9687696163619237,-0.6828851643623555,-0.13637453239402042,-1.3204904228403924,1.032823863481551,-2.399043725570511,-3.916056267031033,-0.9181401824956114,BCa,True
Q4,Llama-4-Scout,Point-Hint,1155,13.957161799095186,11.897769803370442,11.467324323631981,-2.0593919957247433,-3.738856053360644,-0.5354675822626167,-0.43044547973846115,-1.682204130926953,0.826834631849258,-2.4898374754632044,-4.024756846568368,-0.9854591085117043,BCa,True
Q4,Llama-4-Scout,Short,1155,12.679774494486834,11.044551862670795,11.388976914769332,-1.6352226318160383,-3.4179748220097474,0.09533675091022704,0.34442505209853636,-1.160832106789014,1.7539067146176182,-1.290797579717502,-2.6984628776509276,0.07673863722371572,BCa,True
Q4,Mistral-Small-3.2,Detailed,1155,18.560615121069993,15.85176421294627,18.87277860214324,-2.7088509081237238,-4.462729156530228,-0.4937181943530026,3.021014389196969,1.2701371982373917,5.353545843157903,0.3121634810732452,-2.0708343094800292,2.8066448210203303,BCa,True
Q4,Mistral-Small-3.2,Grid-Overlay,1155,13.64709670474554,10.154504678989364,10.459056696995141,-3.492592025756176,-4.9967139387192985,-2.1515670076302564,0.30455201800577747,-0.5067102157904302,1.1627621884614345,-3.1880400077503985,-4.6888775515485435,-1.7167360650605687,BCa,True
Q4,Mistral-Small-3.2,Point-Hint,1155,14.048447263365555,10.480978618548795,10.278196244763237,-3.56746864481676,-5.153816064199408,-2.070263940336275,-0.20278237378555808,-0.9675037782551703,0.5113156714743592,-3.770251018602318,-5.413840497270722,-2.256499587612103,BCa,True
Q4,Mistral-Small-3.2,Short,1155,15.925771065126506,11.034273935689685,10.84952960207811,-4.8914971294368215,-6.7539780088485575,-3.1751997238890795,-0.18474433361157416,-1.312580743219298,0.702103856114711,-5.076241463048396,-6.773901897329619,-3.487906696225997,BCa,True
